learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,39.36270517981322,0.8009901524079359
0.001,3,250,128,32.92232477865754,0.8183149311331659
0.001,3,300,128,37.192294000535725,0.8496921893391342
0.001,3,350,128,796.903973096133,-44.15990502111081
0.001,4,200,128,50.18589396197055,0.7388433953472899
0.001,4,250,128,33.699187192676376,0.8459109095295898
0.001,4,300,128,796.903973096133,-44.15990502111081
0.001,4,350,128,796.903973096133,-44.15990502111081
0.001,5,200,128,75.43531402851625,0.5800536350657417
0.001,5,250,128,796.903973096133,-44.15990502111081
0.001,5,300,128,796.903973096133,-44.15990502111081
0.001,5,350,128,796.903973096133,-44.15990502111081
