learning_rate,num_layers,num_nodes,batch_size,MAPE,R2,MAPE2,R22
0.001000497430862928,3.0213707358438655,198.16215793930456,129.58626901771441,16.810877939135572,0.9163635663028254,24.6117400259191,-0.3959084362871307
0.0010122701177573766,3.0189679693515803,249.2414108700955,128.45457059015516,17.192238933303855,0.9221947923527839,24.712509117720614,-0.367801851169081
0.0010049916581586415,2.9690407338422644,305.8309541383185,126.3540702722445,17.299200197258184,0.9180345546478572,23.86579225000014,-0.3334753686226207
0.0009935576716575472,3.017475888157222,352.49337755723855,126.61118287444549,18.916230045537446,0.8945753618108175,24.594393858314945,-0.3805959031403137
0.0010161917614566222,3.9806918260715447,197.62189410699918,127.64025449724755,17.32334141390071,0.9161431555072787,24.843411125233672,-0.41758234347843104
0.000973964657323583,3.997280976666131,251.1535904367897,128.31481156290434,18.363878637295166,0.8872222602042211,23.91844195173498,-0.3256364829028373
0.0009970177492513311,3.9771291847809747,301.6578472118037,126.02340903700228,18.81870380295718,0.8745821020058754,24.507989121997905,-0.5261087328674551
0.000998366493423172,4.001779687409836,347.7982398169017,128.45998623896182,17.499612210844713,0.8929636772861209,21.436932973453896,-0.23082629754611927
0.0010091332691950993,4.949466710401566,202.92867664244437,128.9095149866151,20.468782959199263,0.8676088561398505,26.46082268091525,-0.7453438798202313
0.0010064640195879034,5.0473370850785075,251.154380952533,128.39604721513177,17.572829043909504,0.9030805061650313,21.79024024104984,-0.26300946765595384
0.0010030655844469752,5.089262765826518,302.58661172680314,126.04309651499634,17.64207976055488,0.8888349231107442,20.817251857505866,-0.22610501774323666
0.0010153070675743066,4.96498925177346,351.25885636997504,129.91134921489746,19.40483727761415,0.8930603784676423,24.89074249481568,-0.46533389953389803
