learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001002296743191225,3.0002795985777047,201.65931942625045,126.9828634176632,0.02664362948946665,0.9898476083000857
0.000994654268936311,2.9989728437868317,249.65494891760832,128.7909342816047,0.026995323723403738,0.9997266646013628
0.0009970944812892808,3.0183169544531965,300.61706498125477,128.82804675623262,0.030782869436072426,0.9826906477416791
0.0009956172488955958,2.9687366643497963,351.62551076415485,127.72756615644496,0.0419957096444517,0.9883623867614001
0.0010022100230997033,4.070014414763726,201.96659517799318,125.01493394478462,0.025534930046072213,1.0094143713905337
0.0010016613068152148,4.025898100807935,248.1183569365848,127.5535094847038,0.026029195704930178,0.9897379413885186
0.000996201051833527,4.028867910814432,304.10022246416185,128.05657094733854,0.028797874844997046,0.9848829358924521
0.001009092965332622,3.9599241972101815,354.7552564952328,129.34477873019014,0.025148408815055714,0.9957492332176189
0.0010045033258840594,4.94138090620227,202.4205751059879,128.58431197526207,0.03494647403844884,1.0057034418892523
0.0009911485419249611,5.096448873513333,253.0488387217562,127.45929735200417,0.060043385983829016,0.9887558514966815
0.0009958637284629144,5.027698922238254,293.19040861961497,130.557452521523,0.02915261184442023,1.0078046847884252
0.0010040494486169517,5.007751508937618,350.97746305710336,127.76777084176639,0.026539418255008503,1.0051073798132644
0.000989193719938749,5.925111172287421,201.2207164798378,127.14734162911749,0.032764004927370395,0.992922854813402
0.0010096345426952578,5.979771177013062,248.16875597688235,129.72142424811,0.03858177564358843,1.0050040779505949
0.0009793684092502923,6.030198841169454,297.9680296670366,128.28081331012467,0.03131022385419256,0.9782724421544743
0.0010078849189781782,5.987536631874445,349.26901067952866,127.82926601342277,0.02917697273045532,1.0005296571806357
