learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,9.085290773989476,0.9702436060602215
0.001,3,250,128,8.075014010150076,0.9730370332086081
0.001,3,300,128,801.142997223946,-39.08358301586167
0.001,3,350,128,967.4233288487904,-77.99474743900028
0.001,4,200,128,8.820680929027915,0.9698414359450069
0.001,4,250,128,12.973103473099284,0.9412679039473114
0.001,4,300,128,801.1429973585084,-39.083583035980176
0.001,4,350,128,801.1429973585084,-39.083583035980176
0.001,5,200,128,8.162964404750861,0.9739333201130764
0.001,5,250,128,801.1429973585084,-39.083583035980176
0.001,5,300,128,801.1429973585084,-39.083583035980176
0.001,5,350,128,801.1429973585084,-39.083583035980176
