learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,25.16658902106574,0.8707084353903352
0.001,3,250,128,19.157756716458568,0.8553038111370048
0.001,3,300,128,39.52225989887272,0.855856058175865
0.001,3,350,128,654.8586483582359,-25.04086518820181
0.001,4,200,128,39.272960202091475,0.7961366324321514
0.001,4,250,128,33.290046709237295,0.8455774447787443
0.001,4,300,128,654.8586483582359,-25.04086518820181
0.001,4,350,128,31.31762726619764,0.8456011538536962
0.001,5,200,128,42.69601147863498,0.791343533957723
0.001,5,250,128,28.100031580735973,0.8563082268611272
0.001,5,300,128,654.8586483582359,-25.04086518820181
0.001,5,350,128,654.8586483582359,-25.04086518820181
