learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.001,3,200,128,7.804085947540861,0.9708938660072963
0.001,3,250,128,8.935014236673007,0.9537058986970572
0.001,3,300,128,746.1242767659174,-32.13393664801042
0.001,3,350,128,746.1242768820765,-32.13393666004209
0.001,4,200,128,7.038846111514624,0.9770681211041089
0.001,4,250,128,746.1242768820765,-32.13393666004209
0.001,4,300,128,746.1242768820765,-32.13393666004209
0.001,4,350,128,746.1242768820765,-32.13393666004209
0.001,5,200,128,7.130101514347404,0.9724721437734392
0.001,5,250,128,746.1242768820765,-32.13393666004209
0.001,5,300,128,746.1242768820765,-32.13393666004209
0.001,5,350,128,746.1242768820765,-32.13393666004209
