learning_rate,num_layers,num_nodes,batch_size,MAPE,R2
0.000998603422633969,3.0432198993888204,150.40770366173805,125.3242527612687,451.301589398931,-5.432444685999083
0.000986664270704518,2.989926042537997,200.17835344980634,129.11299963894004,362.81740224502687,-4.153345045217941
0.0009913009688276408,3.0085851498842455,249.39198335053123,128.93339718922164,456.6459370091995,-5.342423135516639
0.0009935103303464986,3.0047026364629055,300.45657149510566,130.60311156530503,461.6198188338474,-5.524836076791884
0.00099942948293829,4.037001823878842,147.80791819583942,126.77611805832257,362.7009119829103,-4.164586203722119
0.0010138597411771888,3.9627623544805477,202.17464116612172,128.15972778954347,429.4248107962044,-5.0420256053278045
0.0009940802227917896,4.003961700392972,249.93404635730812,129.98321663617762,461.5825119902781,-5.660010892016435
0.001002120876296864,4.004694871515125,302.40581561553336,127.22512047019944,454.5391619166382,-5.665474225789271
0.0010204439564402846,4.988283471806885,150.74616911059942,127.82737017065683,362.0788357371385,-4.273844767422899
0.0009964922409370224,4.919250550543056,199.79933495533655,127.71554984303755,466.9954632625323,-5.640965367325839
0.0010055381236599484,4.986765709933905,251.33903697667128,127.67892076878586,464.94171338410115,-5.652141069557027
0.0010055330126779235,5.021061125589972,298.1294513957294,129.5737049727225,458.4836121197036,-5.698553565102198
